Frequency_rads	Cp_Farad	Bp_S	Dissipation	Gp_S
125.663706E+0	0.000000E+0	NaN	0.000000E+0	0.000000E+0
138.230077E+0	7.400000E-9	1.022903E-6	104.000000E-3	106.381867E-9
157.079633E+0	7.100000E-9	1.115265E-6	134.000000E-3	149.445563E-9
175.929189E+0	7.100000E-9	1.249097E-6	120.000000E-3	149.891669E-9
194.778745E+0	7.000000E-9	1.363451E-6	126.000000E-3	171.794853E-9
213.628300E+0	6.900000E-9	1.474035E-6	138.000000E-3	203.416868E-9
238.761042E+0	6.900000E-9	1.647451E-6	132.000000E-3	217.463557E-9
270.176968E+0	6.800000E-9	1.837203E-6	138.000000E-3	253.534067E-9
301.592895E+0	6.700000E-9	2.020672E-6	148.000000E-3	299.059514E-9
333.008821E+0	6.700000E-9	2.231159E-6	148.000000E-3	330.211547E-9
370.707933E+0	6.600000E-9	2.446672E-6	155.000000E-3	379.234216E-9
414.690230E+0	6.500000E-9	2.695486E-6	154.000000E-3	415.104921E-9
458.672527E+0	6.400000E-9	2.935504E-6	164.000000E-3	481.422685E-9
515.221195E+0	6.300000E-9	3.245894E-6	163.000000E-3	529.080645E-9
571.769863E+0	6.220000E-9	3.556409E-6	167.000000E-3	593.920227E-9
634.601716E+0	6.120000E-9	3.883763E-6	168.000000E-3	652.472100E-9
709.999940E+0	6.040000E-9	4.288400E-6	168.000000E-3	720.451139E-9
791.681349E+0	5.950000E-9	4.710504E-6	165.000000E-3	777.233164E-9
879.645943E+0	5.870000E-9	5.163522E-6	165.000000E-3	851.981078E-9
980.176908E+0	5.790000E-9	5.675224E-6	163.000000E-3	925.061560E-9
1.093274E+3	5.720000E-9	6.253529E-6	161.000000E-3	1.006818E-6
1.218938E+3	5.660000E-9	6.899189E-6	158.000000E-3	1.090072E-6
1.357168E+3	5.600000E-9	7.600141E-6	155.000000E-3	1.178022E-6
1.514248E+3	5.540000E-9	8.388932E-6	153.000000E-3	1.283507E-6
1.683894E+3	5.490000E-9	9.244576E-6	150.000000E-3	1.386686E-6
1.878672E+3	5.440000E-9	10.219978E-6	148.000000E-3	1.512557E-6
2.092301E+3	5.400000E-9	11.298424E-6	146.000000E-3	1.649570E-6
2.331062E+3	5.350000E-9	12.471180E-6	145.000000E-3	1.808321E-6
2.601239E+3	5.300000E-9	13.786565E-6	144.000000E-3	1.985265E-6
2.896548E+3	5.300000E-9	15.351707E-6	143.000000E-3	2.195294E-6
3.229557E+3	5.200000E-9	16.793698E-6	144.000000E-3	2.418292E-6
3.593982E+3	5.200000E-9	18.688706E-6	146.000000E-3	2.728551E-6
4.008672E+3	5.200000E-9	20.845096E-6	148.000000E-3	3.085074E-6
4.467345E+3	5.130000E-9	22.917479E-6	151.000000E-3	3.460539E-6
4.976283E+3	5.100000E-9	25.379042E-6	156.000000E-3	3.959131E-6
5.541769E+3	5.060000E-9	28.041353E-6	161.000000E-3	4.514658E-6
6.176371E+3	5.020000E-9	31.005383E-6	167.000000E-3	5.177899E-6
6.886371E+3	4.980000E-9	34.294128E-6	175.000000E-3	6.001472E-6
7.671769E+3	4.930000E-9	37.821822E-6	184.000000E-3	6.959215E-6
8.545132E+3	4.880000E-9	41.700244E-6	194.000000E-3	8.089847E-6
9.525309E+3	4.830000E-9	46.007242E-6	205.000000E-3	9.431485E-6
10.612300E+3	4.770000E-9	50.620671E-6	217.000000E-3	10.984686E-6
11.824955E+3	4.710000E-9	55.695537E-6	231.000000E-3	12.865669E-6
13.175840E+3	4.640000E-9	61.135896E-6	246.000000E-3	15.039430E-6
14.683804E+3	4.560000E-9	66.958147E-6	263.000000E-3	17.609993E-6
16.361415E+3	4.480000E-9	73.299137E-6	281.000000E-3	20.597058E-6
18.227521E+3	4.380000E-9	79.836540E-6	300.000000E-3	23.950962E-6
20.313538E+3	4.280000E-9	86.941943E-6	321.000000E-3	27.908364E-6
22.632033E+3	4.170000E-9	94.375580E-6	343.000000E-3	32.370824E-6
25.220706E+3	4.050000E-9	102.143859E-6	365.000000E-3	37.282508E-6
28.098405E+3	3.920000E-9	110.145746E-6	389.000000E-3	42.846695E-6
31.309112E+3	3.790000E-9	118.661536E-6	413.000000E-3	49.007214E-6
34.890528E+3	3.650000E-9	127.350427E-6	435.700000E-3	55.486581E-6
38.874067E+3	3.510000E-9	136.447977E-6	460.400000E-3	62.820649E-6
43.316280E+3	3.360000E-9	145.542699E-6	484.600000E-3	70.529992E-6
48.267430E+3	3.214000E-9	155.131519E-6	508.200000E-3	78.837838E-6
53.784066E+3	3.066000E-9	164.901947E-6	530.900000E-3	87.546444E-6
59.929021E+3	2.921000E-9	175.052672E-6	552.600000E-3	96.734106E-6
66.777693E+3	2.780000E-9	185.641988E-6	572.900000E-3	106.354295E-6
74.405480E+3	2.643000E-9	196.653685E-6	591.600000E-3	116.340320E-6
82.906630E+3	2.510000E-9	208.095642E-6	609.100000E-3	126.751055E-6
92.381674E+3	2.384000E-9	220.237910E-6	625.000000E-3	137.648694E-6
102.937425E+3	2.262000E-9	232.844455E-6	639.100000E-3	148.810891E-6
114.699548E+3	2.146000E-9	246.145230E-6	651.200000E-3	160.289773E-6
127.806272E+3	2.035000E-9	260.085764E-6	661.300000E-3	171.994716E-6
142.408395E+3	1.930000E-9	274.848202E-6	668.900000E-3	183.845963E-6
158.681845E+3	1.832000E-9	290.705140E-6	673.500000E-3	195.789912E-6
176.815118E+3	1.739000E-9	307.481490E-6	674.900000E-3	207.519257E-6
197.021842E+3	1.654000E-9	325.874126E-6	672.700000E-3	219.215525E-6
219.534495E+3	1.575000E-9	345.766829E-6	666.600000E-3	230.488168E-6
244.616970E+3	1.503000E-9	367.659306E-6	655.900000E-3	241.147739E-6
272.570862E+3	1.439000E-9	392.229470E-6	641.600000E-3	251.654428E-6
303.716611E+3	1.381000E-9	419.432640E-6	623.400000E-3	261.474308E-6
338.418644E+3	1.330000E-9	450.096796E-6	602.100000E-3	271.003281E-6
377.091649E+3	1.285000E-9	484.562769E-6	577.700000E-3	279.931912E-6
420.181734E+3	1.245000E-9	523.126259E-6	551.200000E-3	288.347194E-6
468.197836E+3	1.211200E-9	567.081219E-6	523.300000E-3	296.753602E-6
521.692876E+3	1.181600E-9	616.432302E-6	494.200000E-3	304.640844E-6
581.307738E+3	1.156300E-9	672.166138E-6	464.900000E-3	312.490037E-6
647.733573E+3	1.134500E-9	734.853739E-6	436.100000E-3	320.469716E-6
721.749496E+3	1.134500E-9	818.824803E-6	436.100000E-3	357.089497E-6
804.222587E+3	1.100500E-9	885.046957E-6	381.100000E-3	337.291395E-6
896.120455E+3	1.087400E-9	974.441383E-6	355.600000E-3	346.511356E-6
998.517526E+3	1.076400E-9	1.074804E-3	331.900000E-3	356.727535E-6
1.112614E+6	1.067000E-9	1.187159E-3	310.200000E-3	368.256727E-6
