Frequency_rads	Cp_Farad	Bp_S	Dissipation	Gp_S
125.663706E+0	8.000000E-9	1.005310E-6	129.000000E-3	129.684945E-9
138.230077E+0	7.900000E-9	1.092018E-6	151.000000E-3	164.894659E-9
157.079633E+0	8.000000E-9	1.256637E-6	123.000000E-3	154.566359E-9
175.929189E+0	8.000000E-9	1.407434E-6	123.000000E-3	173.114322E-9
194.778745E+0	7.900000E-9	1.538752E-6	124.000000E-3	190.805258E-9
213.628300E+0	7.800000E-9	1.666301E-6	140.000000E-3	233.282104E-9
238.761042E+0	7.800000E-9	1.862336E-6	141.000000E-3	262.589394E-9
270.176968E+0	7.700000E-9	2.080363E-6	132.000000E-3	274.607870E-9
301.592895E+0	7.600000E-9	2.292106E-6	147.000000E-3	336.939582E-9
333.008821E+0	7.500000E-9	2.497566E-6	141.000000E-3	352.156829E-9
370.707933E+0	7.500000E-9	2.780309E-6	146.000000E-3	405.925187E-9
414.690230E+0	7.400000E-9	3.068708E-6	153.000000E-3	469.512279E-9
458.672527E+0	7.310000E-9	3.352896E-6	155.000000E-3	519.698907E-9
515.221195E+0	7.220000E-9	3.719897E-6	160.000000E-3	595.183525E-9
571.769863E+0	7.150000E-9	4.088155E-6	165.000000E-3	674.545496E-9
634.601716E+0	7.050000E-9	4.473942E-6	170.000000E-3	760.570157E-9
709.999940E+0	6.950000E-9	4.934500E-6	175.000000E-3	863.537427E-9
791.681349E+0	6.830000E-9	5.407184E-6	179.000000E-3	967.885866E-9
879.645943E+0	6.730000E-9	5.920017E-6	180.000000E-3	1.065603E-6
980.176908E+0	6.620000E-9	6.488771E-6	181.000000E-3	1.174468E-6
1.093274E+3	6.520000E-9	7.128148E-6	183.000000E-3	1.304451E-6
1.218938E+3	6.420000E-9	7.825582E-6	182.000000E-3	1.424256E-6
1.357168E+3	6.330000E-9	8.590874E-6	182.000000E-3	1.563539E-6
1.514248E+3	6.230000E-9	9.433763E-6	181.000000E-3	1.707511E-6
1.683894E+3	6.150000E-9	10.355946E-6	178.000000E-3	1.843358E-6
1.878672E+3	6.070000E-9	11.403542E-6	176.000000E-3	2.007023E-6
2.092301E+3	6.000000E-9	12.553804E-6	174.000000E-3	2.184362E-6
2.331062E+3	5.940000E-9	13.846507E-6	170.800000E-3	2.364983E-6
2.601239E+3	5.900000E-9	15.347308E-6	168.000000E-3	2.578348E-6
2.896548E+3	5.800000E-9	16.799981E-6	167.000000E-3	2.805597E-6
3.229557E+3	5.800000E-9	18.731432E-6	165.000000E-3	3.090686E-6
3.593982E+3	5.700000E-9	20.485697E-6	165.000000E-3	3.380140E-6
4.008672E+3	5.700000E-9	22.849432E-6	166.000000E-3	3.793006E-6
4.467345E+3	5.640000E-9	25.195824E-6	167.000000E-3	4.207703E-6
4.976283E+3	5.600000E-9	27.867183E-6	170.000000E-3	4.737421E-6
5.541769E+3	5.560000E-9	30.812238E-6	174.000000E-3	5.361329E-6
6.176371E+3	5.520000E-9	34.093569E-6	180.000000E-3	6.136842E-6
6.886371E+3	5.480000E-9	37.737314E-6	187.000000E-3	7.056878E-6
7.671769E+3	5.430000E-9	41.657707E-6	195.000000E-3	8.123253E-6
8.545132E+3	5.380000E-9	45.972810E-6	205.000000E-3	9.424426E-6
9.525309E+3	5.320000E-9	50.674643E-6	217.000000E-3	10.996398E-6
10.612300E+3	5.250000E-9	55.714575E-6	230.000000E-3	12.814352E-6
11.824955E+3	5.180000E-9	61.253266E-6	246.000000E-3	15.068303E-6
13.175840E+3	5.100000E-9	67.196782E-6	263.000000E-3	17.672754E-6
14.683804E+3	5.010000E-9	73.565858E-6	281.000000E-3	20.672006E-6
16.361415E+3	4.910000E-9	80.334545E-6	301.000000E-3	24.180698E-6
18.227521E+3	4.800000E-9	87.492099E-6	323.000000E-3	28.259948E-6
20.313538E+3	4.680000E-9	95.067358E-6	347.000000E-3	32.988373E-6
22.632033E+3	4.540000E-9	102.749432E-6	371.000000E-3	38.120039E-6
25.220706E+3	4.390000E-9	110.718899E-6	397.000000E-3	43.955403E-6
28.098405E+3	4.240000E-9	119.137236E-6	423.000000E-3	50.395051E-6
31.309112E+3	4.080000E-9	127.741179E-6	446.500000E-3	57.036436E-6
