Amplitude,Capacitance,Dissipation
10.000000E-3,2.855000E-9,100.600000E-6
30.000000E-3,2.845000E-9,99.100000E-6
50.000000E-3,2.836000E-9,97.800000E-6
70.000000E-3,2.832000E-9,96.300000E-6
90.000000E-3,2.827000E-9,95.300000E-6
110.000000E-3,2.821000E-9,94.400000E-6
130.000000E-3,2.817000E-9,93.900000E-6
150.000000E-3,2.812000E-9,93.200000E-6
170.000000E-3,2.809000E-9,92.500000E-6
190.000000E-3,2.805000E-9,91.900000E-6
210.000000E-3,2.801000E-9,91.600000E-6
230.000000E-3,2.798000E-9,91.100000E-6
250.000000E-3,2.796000E-9,90.700000E-6
270.000000E-3,2.794000E-9,90.300000E-6
290.000000E-3,2.792000E-9,89.900000E-6
310.000000E-3,2.790000E-9,89.600000E-6
330.000000E-3,2.789000E-9,89.200000E-6
350.000000E-3,2.786000E-9,89.200000E-6
370.000000E-3,2.785000E-9,88.900000E-6
390.000000E-3,2.784000E-9,88.600000E-6
