Amplitude,Capacitance,Dissipation
10.000000E-3,4.760000E-9,4.600000E-6
30.000000E-3,4.700000E-9,4.400000E-6
50.000000E-3,4.640000E-9,4.300000E-6
70.000000E-3,4.590000E-9,4.100000E-6
90.000000E-3,4.540000E-9,3.900000E-6
110.000000E-3,4.494000E-9,3.710000E-6
130.000000E-3,4.464000E-9,3.610000E-6
150.000000E-3,4.430000E-9,3.470000E-6
170.000000E-3,4.399000E-9,3.350000E-6
190.000000E-3,4.373000E-9,3.240000E-6
210.000000E-3,4.349000E-9,3.160000E-6
230.000000E-3,4.328000E-9,3.070000E-6
250.000000E-3,4.314000E-9,3.000000E-6
270.000000E-3,4.297000E-9,2.930000E-6
290.000000E-3,4.281000E-9,2.870000E-6
310.000000E-3,4.268000E-9,2.810000E-6
330.000000E-3,4.256000E-9,2.750000E-6
350.000000E-3,4.247000E-9,2.730000E-6
370.000000E-3,4.237000E-9,2.680000E-6
390.000000E-3,4.228000E-9,2.640000E-6
