Frequency_rads	Cp_Farad	Bp_S	Dissipation	Gp_S
125.663706E+0	8.700000E-9	1.093274E-6	172.000000E-3	188.043170E-9
138.230077E+0	8.600000E-9	1.188779E-6	189.000000E-3	224.679167E-9
157.079633E+0	8.600000E-9	1.350885E-6	167.000000E-3	225.597768E-9
175.929189E+0	8.400000E-9	1.477805E-6	179.000000E-3	264.527128E-9
194.778745E+0	8.400000E-9	1.636141E-6	156.000000E-3	255.238067E-9
213.628300E+0	8.400000E-9	1.794478E-6	156.000000E-3	279.938525E-9
238.761042E+0	8.200000E-9	1.957841E-6	157.000000E-3	307.380965E-9
270.176968E+0	8.200000E-9	2.215451E-6	152.000000E-3	336.748573E-9
301.592895E+0	8.100000E-9	2.442902E-6	154.000000E-3	376.206977E-9
333.008821E+0	8.000000E-9	2.664071E-6	155.000000E-3	412.930938E-9
370.707933E+0	7.900000E-9	2.928593E-6	160.000000E-3	468.574827E-9
414.690230E+0	7.900000E-9	3.276053E-6	150.000000E-3	491.407923E-9
458.672527E+0	7.790000E-9	3.573059E-6	158.000000E-3	564.543320E-9
515.221195E+0	7.710000E-9	3.972355E-6	162.000000E-3	643.521577E-9
571.769863E+0	7.630000E-9	4.362604E-6	166.000000E-3	724.192273E-9
634.601716E+0	7.560000E-9	4.797589E-6	170.000000E-3	815.590125E-9
709.999940E+0	7.450000E-9	5.289500E-6	174.000000E-3	920.372922E-9
791.681349E+0	7.360000E-9	5.826775E-6	178.000000E-3	1.037166E-6
879.645943E+0	7.250000E-9	6.377433E-6	183.000000E-3	1.167070E-6
980.176908E+0	7.150000E-9	7.008265E-6	188.000000E-3	1.317554E-6
1.093274E+3	7.030000E-9	7.685718E-6	191.000000E-3	1.467972E-6
1.218938E+3	6.920000E-9	8.435051E-6	194.000000E-3	1.636400E-6
1.357168E+3	6.800000E-9	9.228743E-6	197.000000E-3	1.818062E-6
1.514248E+3	6.700000E-9	10.145459E-6	199.000000E-3	2.018946E-6
1.683894E+3	6.590000E-9	11.096859E-6	199.000000E-3	2.208275E-6
1.878672E+3	6.480000E-9	12.173797E-6	200.000000E-3	2.434759E-6
2.092301E+3	6.380000E-9	13.348879E-6	199.100000E-3	2.657762E-6
2.331062E+3	6.290000E-9	14.662378E-6	198.600000E-3	2.911948E-6
2.601239E+3	6.200000E-9	16.127680E-6	197.000000E-3	3.177153E-6
2.896548E+3	6.100000E-9	17.668945E-6	196.000000E-3	3.463113E-6
3.229557E+3	6.100000E-9	19.700299E-6	194.000000E-3	3.821858E-6
3.593982E+3	6.000000E-9	21.563892E-6	193.000000E-3	4.161831E-6
