Amplitude,Capacitance,Dissipation
10.000000E-3,4.730000E-9,5.600000E-6
30.000000E-3,4.690000E-9,5.500000E-6
50.000000E-3,4.630000E-9,5.300000E-6
70.000000E-3,4.590000E-9,5.100000E-6
90.000000E-3,4.530000E-9,4.900000E-6
110.000000E-3,4.478000E-9,4.620000E-6
130.000000E-3,4.436000E-9,4.430000E-6
150.000000E-3,4.387000E-9,4.190000E-6
170.000000E-3,4.342000E-9,3.940000E-6
190.000000E-3,4.303000E-9,3.710000E-6
210.000000E-3,4.269000E-9,3.520000E-6
230.000000E-3,4.240000E-9,3.320000E-6
250.000000E-3,4.221000E-9,3.190000E-6
270.000000E-3,4.199000E-9,3.030000E-6
290.000000E-3,4.181000E-9,2.890000E-6
310.000000E-3,4.166000E-9,2.770000E-6
330.000000E-3,4.153000E-9,2.670000E-6
350.000000E-3,4.144000E-9,2.620000E-6
370.000000E-3,4.134000E-9,2.540000E-6
390.000000E-3,4.126000E-9,2.460000E-6
