Amplitude,Capacitance,Dissipation
10.000000E-3,4.720000E-9,4.500000E-6
30.000000E-3,4.690000E-9,4.400000E-6
50.000000E-3,4.650000E-9,4.300000E-6
70.000000E-3,4.620000E-9,4.200000E-6
90.000000E-3,4.590000E-9,4.000000E-6
110.000000E-3,4.565000E-9,3.930000E-6
130.000000E-3,4.544000E-9,3.870000E-6
150.000000E-3,4.521000E-9,3.780000E-6
170.000000E-3,4.499000E-9,3.700000E-6
190.000000E-3,4.478000E-9,3.620000E-6
210.000000E-3,4.459000E-9,3.560000E-6
230.000000E-3,4.441000E-9,3.490000E-6
250.000000E-3,4.429000E-9,3.440000E-6
270.000000E-3,4.413000E-9,3.380000E-6
290.000000E-3,4.398000E-9,3.320000E-6
310.000000E-3,4.385000E-9,3.260000E-6
330.000000E-3,4.372000E-9,3.210000E-6
350.000000E-3,4.363000E-9,3.190000E-6
370.000000E-3,4.353000E-9,3.130000E-6
390.000000E-3,4.343000E-9,3.090000E-6
