Amplitude,Capacitance,Dissipation
10.000000E-3,4.550000E-9,5.000000E-6
30.000000E-3,4.500000E-9,4.800000E-6
50.000000E-3,4.460000E-9,4.600000E-6
70.000000E-3,4.410000E-9,4.400000E-6
90.000000E-3,4.370000E-9,4.100000E-6
110.000000E-3,4.322000E-9,3.890000E-6
130.000000E-3,4.293000E-9,3.710000E-6
150.000000E-3,4.260000E-9,3.490000E-6
170.000000E-3,4.230000E-9,3.280000E-6
190.000000E-3,4.206000E-9,3.110000E-6
210.000000E-3,4.185000E-9,2.960000E-6
230.000000E-3,4.168000E-9,2.830000E-6
250.000000E-3,4.158000E-9,2.740000E-6
270.000000E-3,4.146000E-9,2.630000E-6
290.000000E-3,4.135000E-9,2.540000E-6
310.000000E-3,4.126000E-9,2.460000E-6
330.000000E-3,4.119000E-9,2.390000E-6
350.000000E-3,4.114000E-9,2.370000E-6
370.000000E-3,4.108000E-9,2.320000E-6
390.000000E-3,4.104000E-9,2.270000E-6
