Amplitude,Capacitance,Dissipation
10.000000E-3,1.143700E-9,310.700000E-6
30.000000E-3,1.142400E-9,309.600000E-6
50.000000E-3,1.141300E-9,308.500000E-6
70.000000E-3,1.141500E-9,306.500000E-6
90.000000E-3,1.140800E-9,305.600000E-6
110.000000E-3,1.139900E-9,304.700000E-6
130.000000E-3,1.139200E-9,304.200000E-6
150.000000E-3,1.138500E-9,303.400000E-6
170.000000E-3,1.137900E-9,302.700000E-6
190.000000E-3,1.137300E-9,302.100000E-6
210.000000E-3,1.136600E-9,301.600000E-6
230.000000E-3,1.136100E-9,301.100000E-6
250.000000E-3,1.135800E-9,300.700000E-6
270.000000E-3,1.135400E-9,300.300000E-6
290.000000E-3,1.135100E-9,299.900000E-6
310.000000E-3,1.134700E-9,299.500000E-6
330.000000E-3,1.134400E-9,299.200000E-6
350.000000E-3,1.134200E-9,299.100000E-6
370.000000E-3,1.134000E-9,298.800000E-6
390.000000E-3,1.133700E-9,298.600000E-6
