Amplitude,Capacitance,Dissipation
10.000000E-3,1.112200E-9,318.600000E-6
30.000000E-3,1.111100E-9,317.200000E-6
50.000000E-3,1.110300E-9,315.800000E-6
70.000000E-3,1.110900E-9,313.600000E-6
90.000000E-3,1.110300E-9,312.500000E-6
110.000000E-3,1.109700E-9,311.500000E-6
130.000000E-3,1.109300E-9,310.800000E-6
150.000000E-3,1.108700E-9,310.000000E-6
170.000000E-3,1.108400E-9,309.100000E-6
190.000000E-3,1.108000E-9,308.400000E-6
210.000000E-3,1.107600E-9,307.900000E-6
230.000000E-3,1.107000E-9,307.400000E-6
250.000000E-3,1.107000E-9,306.900000E-6
270.000000E-3,1.106800E-9,306.400000E-6
290.000000E-3,1.106500E-9,305.900000E-6
310.000000E-3,1.106300E-9,305.500000E-6
330.000000E-3,1.106100E-9,305.100000E-6
350.000000E-3,1.105900E-9,304.900000E-6
370.000000E-3,1.105800E-9,304.600000E-6
390.000000E-3,1.105600E-9,304.300000E-6
