Amplitude,Capacitance,Dissipation
10.000000E-3,1.021000E-9,435.000000E-6
30.000000E-3,1.021000E-9,434.000000E-6
50.000000E-3,1.020000E-9,434.000000E-6
70.000000E-3,1.021000E-9,430.000000E-6
90.000000E-3,1.021000E-9,429.000000E-6
110.000000E-3,1.021000E-9,428.000000E-6
130.000000E-3,1.021000E-9,429.000000E-6
150.000000E-3,1.021000E-9,428.000000E-6
170.000000E-3,1.021000E-9,427.000000E-6
190.000000E-3,1.021000E-9,426.000000E-6
210.000000E-3,1.020000E-9,427.000000E-6
230.000000E-3,1.020000E-9,426.000000E-6
250.000000E-3,1.020000E-9,426.000000E-6
270.000000E-3,1.020000E-9,426.000000E-6
290.000000E-3,1.020000E-9,425.000000E-6
310.000000E-3,1.020200E-9,425.000000E-6
330.000000E-3,1.020200E-9,424.000000E-6
350.000000E-3,1.020000E-9,425.000000E-6
370.000000E-3,1.020000E-9,425.000000E-6
390.000000E-3,1.020000E-9,424.000000E-6
