Amplitude,Capacitance,Dissipation
10.000000E-3,4.320000E-9,4.200000E-6
30.000000E-3,4.290000E-9,4.000000E-6
50.000000E-3,4.260000E-9,3.800000E-6
70.000000E-3,4.240000E-9,3.600000E-6
90.000000E-3,4.210000E-9,3.400000E-6
110.000000E-3,4.183000E-9,3.210000E-6
130.000000E-3,4.166000E-9,3.080000E-6
150.000000E-3,4.148000E-9,2.910000E-6
170.000000E-3,4.133000E-9,2.760000E-6
190.000000E-3,4.119000E-9,2.630000E-6
210.000000E-3,4.108000E-9,2.540000E-6
230.000000E-3,4.099000E-9,2.440000E-6
250.000000E-3,4.094000E-9,2.380000E-6
270.000000E-3,4.088000E-9,2.310000E-6
290.000000E-3,4.082000E-9,2.250000E-6
310.000000E-3,4.078000E-9,2.200000E-6
330.000000E-3,4.074000E-9,2.150000E-6
350.000000E-3,4.071000E-9,2.140000E-6
370.000000E-3,4.068000E-9,2.110000E-6
390.000000E-3,4.066000E-9,2.080000E-6
