Amplitude,Capacitance,Dissipation
10.000000E-3,1.029400E-9,332.900000E-6
30.000000E-3,1.029400E-9,332.700000E-6
50.000000E-3,1.029600E-9,332.600000E-6
70.000000E-3,1.030500E-9,331.800000E-6
90.000000E-3,1.030800E-9,331.500000E-6
110.000000E-3,1.031600E-9,331.100000E-6
130.000000E-3,1.031400E-9,331.200000E-6
150.000000E-3,1.031400E-9,331.200000E-6
170.000000E-3,1.031400E-9,331.100000E-6
190.000000E-3,1.031300E-9,331.000000E-6
210.000000E-3,1.030700E-9,331.400000E-6
230.000000E-3,1.030700E-9,331.200000E-6
250.000000E-3,1.030700E-9,331.200000E-6
270.000000E-3,1.030500E-9,331.400000E-6
290.000000E-3,1.030700E-9,331.300000E-6
310.000000E-3,1.030700E-9,331.200000E-6
330.000000E-3,1.030500E-9,331.300000E-6
350.000000E-3,1.030500E-9,331.300000E-6
370.000000E-3,1.030500E-9,331.300000E-6
390.000000E-3,1.030700E-9,331.200000E-6
