Amplitude,Capacitance,Dissipation
10.000000E-3,4.220000E-9,3.600000E-6
30.000000E-3,4.200000E-9,3.400000E-6
50.000000E-3,4.180000E-9,3.200000E-6
70.000000E-3,4.160000E-9,3.100000E-6
90.000000E-3,4.140000E-9,2.900000E-6
110.000000E-3,4.128000E-9,2.730000E-6
130.000000E-3,4.118000E-9,2.650000E-6
150.000000E-3,4.108000E-9,2.530000E-6
170.000000E-3,4.099000E-9,2.430000E-6
190.000000E-3,4.091000E-9,2.350000E-6
210.000000E-3,4.085000E-9,2.290000E-6
230.000000E-3,4.080000E-9,2.230000E-6
250.000000E-3,4.076000E-9,2.190000E-6
270.000000E-3,4.073000E-9,2.140000E-6
290.000000E-3,4.069000E-9,2.110000E-6
310.000000E-3,4.067000E-9,2.070000E-6
330.000000E-3,4.065000E-9,2.050000E-6
350.000000E-3,4.063000E-9,2.040000E-6
370.000000E-3,4.061000E-9,2.020000E-6
390.000000E-3,4.060000E-9,2.000000E-6
