Amplitude,Capacitance,Dissipation
10.000000E-3,1.133000E-9,305.000000E-6
30.000000E-3,1.132300E-9,304.300000E-6
50.000000E-3,1.131400E-9,303.800000E-6
70.000000E-3,1.132100E-9,302.200000E-6
90.000000E-3,1.131500E-9,301.600000E-6
110.000000E-3,1.131200E-9,301.100000E-6
130.000000E-3,1.130800E-9,300.900000E-6
150.000000E-3,1.130400E-9,300.400000E-6
170.000000E-3,1.130100E-9,300.000000E-6
190.000000E-3,1.129700E-9,299.600000E-6
210.000000E-3,1.129300E-9,299.400000E-6
230.000000E-3,1.129000E-9,299.100000E-6
250.000000E-3,1.129000E-9,298.800000E-6
270.000000E-3,1.128600E-9,298.600000E-6
290.000000E-3,1.128400E-9,298.300000E-6
310.000000E-3,1.128200E-9,298.200000E-6
330.000000E-3,1.128000E-9,298.000000E-6
350.000000E-3,1.127800E-9,298.000000E-6
370.000000E-3,1.127700E-9,297.800000E-6
390.000000E-3,1.127500E-9,297.600000E-6
