Amplitude,DC Bias,DC Bias
10.000000E-3,-314.142136E-3,-314.142136E-3
30.000000E-3,-342.426407E-3,-342.426407E-3
50.000000E-3,-370.710678E-3,-370.710678E-3
70.000000E-3,-398.994949E-3,-398.994949E-3
90.000000E-3,-427.279221E-3,-427.279221E-3
110.000000E-3,-455.563492E-3,-455.563492E-3
130.000000E-3,-483.847763E-3,-483.847763E-3
150.000000E-3,-512.132034E-3,-512.132034E-3
170.000000E-3,-540.416306E-3,-540.416306E-3
190.000000E-3,-568.700577E-3,-568.700577E-3
210.000000E-3,-596.984848E-3,-596.984848E-3
230.000000E-3,-625.269119E-3,-625.269119E-3
250.000000E-3,-653.553391E-3,-653.553391E-3
270.000000E-3,-681.837662E-3,-681.837662E-3
290.000000E-3,-710.121933E-3,-710.121933E-3
310.000000E-3,-738.406204E-3,-738.406204E-3
330.000000E-3,-766.690476E-3,-766.690476E-3
350.000000E-3,-794.974747E-3,-794.974747E-3
370.000000E-3,-823.259018E-3,-823.259018E-3
390.000000E-3,-851.543289E-3,-851.543289E-3
