Frequency_rads	Cp_Farad	Bp_S	Dissipation	Gp_S
125.663706E+0	0.000000E+0	NaN	0.000000E+0	0.000000E+0
138.230077E+0	6.800000E-9	939.964522E-9	130.000000E-3	122.195388E-9
157.079633E+0	6.800000E-9	1.068142E-6	154.000000E-3	164.493791E-9
175.929189E+0	6.800000E-9	1.196318E-6	136.000000E-3	162.699314E-9
194.778745E+0	6.700000E-9	1.305018E-6	143.000000E-3	186.617515E-9
213.628300E+0	6.700000E-9	1.431310E-6	143.000000E-3	204.677275E-9
238.761042E+0	6.500000E-9	1.551947E-6	154.000000E-3	238.999803E-9
270.176968E+0	6.500000E-9	1.756150E-6	152.000000E-3	266.934845E-9
301.592895E+0	6.300000E-9	1.900035E-6	161.000000E-3	305.905673E-9
333.008821E+0	6.300000E-9	2.097956E-6	155.000000E-3	325.183114E-9
370.707933E+0	6.100000E-9	2.261318E-6	158.000000E-3	357.288306E-9
414.690230E+0	6.000000E-9	2.488141E-6	159.000000E-3	395.614480E-9
458.672527E+0	5.960000E-9	2.733688E-6	161.000000E-3	440.123810E-9
515.221195E+0	5.890000E-9	3.034653E-6	157.000000E-3	476.440496E-9
571.769863E+0	5.810000E-9	3.321983E-6	156.000000E-3	518.229333E-9
634.601716E+0	5.740000E-9	3.642614E-6	154.000000E-3	560.962533E-9
709.999940E+0	5.660000E-9	4.018600E-6	153.000000E-3	614.845748E-9
791.681349E+0	5.600000E-9	4.433416E-6	151.000000E-3	669.445748E-9
879.645943E+0	5.550000E-9	4.882035E-6	144.000000E-3	703.013038E-9
980.176908E+0	5.490000E-9	5.381171E-6	142.000000E-3	764.126314E-9
1.093274E+3	5.440000E-9	5.947412E-6	137.000000E-3	814.795428E-9
1.218938E+3	5.400000E-9	6.582265E-6	135.000000E-3	888.605765E-9
1.357168E+3	5.360000E-9	7.274421E-6	132.000000E-3	960.223522E-9
1.514248E+3	5.320000E-9	8.055798E-6	129.000000E-3	1.039198E-6
1.683894E+3	5.280000E-9	8.890959E-6	127.000000E-3	1.129152E-6
1.878672E+3	5.250000E-9	9.863030E-6	126.000000E-3	1.242742E-6
2.092301E+3	5.220000E-9	10.921810E-6	125.000000E-3	1.365226E-6
2.331062E+3	5.190000E-9	12.098210E-6	125.000000E-3	1.512276E-6
2.601239E+3	5.200000E-9	13.526441E-6	126.000000E-3	1.704332E-6
2.896548E+3	5.100000E-9	14.772397E-6	127.000000E-3	1.876094E-6
3.229557E+3	5.100000E-9	16.470742E-6	129.000000E-3	2.124726E-6
3.593982E+3	5.100000E-9	18.329308E-6	131.000000E-3	2.401139E-6
4.008672E+3	5.000000E-9	20.043361E-6	135.000000E-3	2.705854E-6
4.467345E+3	5.000000E-9	22.336724E-6	139.000000E-3	3.104805E-6
4.976283E+3	4.970000E-9	24.732125E-6	144.000000E-3	3.561426E-6
5.541769E+3	4.930000E-9	27.320923E-6	150.000000E-3	4.098139E-6
6.176371E+3	4.900000E-9	30.264219E-6	157.000000E-3	4.751482E-6
6.886371E+3	4.860000E-9	33.467764E-6	165.000000E-3	5.522181E-6
7.671769E+3	4.810000E-9	36.901210E-6	174.000000E-3	6.420811E-6
8.545132E+3	4.770000E-9	40.760280E-6	185.000000E-3	7.540652E-6
9.525309E+3	4.720000E-9	44.959458E-6	196.000000E-3	8.812054E-6
10.612300E+3	4.660000E-9	49.453318E-6	208.000000E-3	10.286290E-6
11.824955E+3	4.600000E-9	54.394792E-6	222.000000E-3	12.075644E-6
13.175840E+3	4.540000E-9	59.818312E-6	237.000000E-3	14.176940E-6
14.683804E+3	4.460000E-9	65.489766E-6	253.000000E-3	16.568911E-6
16.361415E+3	4.380000E-9	71.662996E-6	271.000000E-3	19.420672E-6
18.227521E+3	4.300000E-9	78.378338E-6	290.000000E-3	22.729718E-6
20.313538E+3	4.200000E-9	85.316860E-6	310.000000E-3	26.448227E-6
22.632033E+3	4.100000E-9	92.791337E-6	331.000000E-3	30.713933E-6
25.220706E+3	3.980000E-9	100.378409E-6	354.000000E-3	35.533957E-6
28.098405E+3	3.860000E-9	108.459842E-6	377.000000E-3	40.889360E-6
31.309112E+3	3.740000E-9	117.096080E-6	401.000000E-3	46.955528E-6
34.890528E+3	3.600000E-9	125.605901E-6	423.200000E-3	53.156417E-6
38.874067E+3	3.470000E-9	134.893014E-6	447.900000E-3	60.418581E-6
43.316280E+3	3.330000E-9	144.243211E-6	472.100000E-3	68.097220E-6
48.267430E+3	3.182000E-9	153.586961E-6	495.900000E-3	76.163774E-6
53.784066E+3	3.039000E-9	163.449777E-6	518.900000E-3	84.814089E-6
59.929021E+3	2.898000E-9	173.674304E-6	540.800000E-3	93.923064E-6
66.777693E+3	2.759000E-9	184.239656E-6	561.500000E-3	103.450567E-6
74.405480E+3	2.625000E-9	195.314386E-6	580.800000E-3	113.438595E-6
82.906630E+3	2.495000E-9	206.852042E-6	598.500000E-3	123.800947E-6
92.381674E+3	2.369000E-9	218.852185E-6	614.900000E-3	134.572208E-6
102.937425E+3	2.249000E-9	231.506269E-6	629.400000E-3	145.710045E-6
114.699548E+3	2.134000E-9	244.768835E-6	642.100000E-3	157.166069E-6
127.806272E+3	2.025000E-9	258.807701E-6	652.600000E-3	168.897906E-6
142.408395E+3	1.921000E-9	273.566527E-6	660.800000E-3	180.772761E-6
158.681845E+3	1.823000E-9	289.277003E-6	666.100000E-3	192.687412E-6
176.815118E+3	1.731000E-9	306.066969E-6	668.400000E-3	204.575162E-6
197.021842E+3	1.646000E-9	324.297951E-6	666.700000E-3	216.209444E-6
219.534495E+3	1.567000E-9	344.010553E-6	661.200000E-3	227.459778E-6
244.616970E+3	1.496000E-9	365.946988E-6	651.600000E-3	238.451057E-6
272.570862E+3	1.431000E-9	390.048903E-6	637.800000E-3	248.773190E-6
303.716611E+3	1.373000E-9	417.002907E-6	620.300000E-3	258.666903E-6
338.418644E+3	1.321000E-9	447.051028E-6	599.200000E-3	267.872976E-6
377.091649E+3	1.276000E-9	481.168945E-6	575.300000E-3	276.816494E-6
420.181734E+3	1.237000E-9	519.764805E-6	548.800000E-3	285.246925E-6
468.197836E+3	1.202500E-9	563.007898E-6	520.900000E-3	293.270814E-6
521.692876E+3	1.172900E-9	611.893574E-6	491.800000E-3	300.929260E-6
581.307738E+3	1.147500E-9	667.050630E-6	462.400000E-3	308.444211E-6
647.733573E+3	1.126000E-9	729.348004E-6	433.200000E-3	315.953555E-6
721.749496E+3	1.107800E-9	799.554092E-6	404.700000E-3	323.579541E-6
804.222587E+3	1.092300E-9	878.452331E-6	377.500000E-3	331.615755E-6
896.120455E+3	1.079400E-9	967.272419E-6	351.700000E-3	340.189710E-6
998.517526E+3	1.068800E-9	1.067216E-3	327.600000E-3	349.619808E-6
