Amplitude,Capacitance,Dissipation
10.000000E-3,999.000000E-12,462.000000E-6
30.000000E-3,999.000000E-12,462.000000E-6
50.000000E-3,999.000000E-12,461.000000E-6
70.000000E-3,999.000000E-12,458.000000E-6
90.000000E-3,1.000000E-9,457.000000E-6
110.000000E-3,1.000000E-9,456.000000E-6
130.000000E-3,1.000000E-9,457.000000E-6
150.000000E-3,1.000000E-9,456.000000E-6
170.000000E-3,1.000000E-9,456.000000E-6
190.000000E-3,1.000000E-9,455.000000E-6
210.000000E-3,999.000000E-12,456.000000E-6
230.000000E-3,999.000000E-12,455.000000E-6
250.000000E-3,999.000000E-12,455.000000E-6
270.000000E-3,1.000000E-9,454.000000E-6
290.000000E-3,1.000000E-9,453.000000E-6
310.000000E-3,999.800000E-12,453.000000E-6
330.000000E-3,999.800000E-12,453.000000E-6
350.000000E-3,999.600000E-12,454.000000E-6
370.000000E-3,999.700000E-12,453.000000E-6
390.000000E-3,999.700000E-12,453.000000E-6
