Amplitude,Capacitance,Dissipation
10.000000E-3,2.825000E-9,95.600000E-6
30.000000E-3,2.821000E-9,94.800000E-6
50.000000E-3,2.817000E-9,94.100000E-6
70.000000E-3,2.817000E-9,93.300000E-6
90.000000E-3,2.815000E-9,92.700000E-6
110.000000E-3,2.813000E-9,92.200000E-6
130.000000E-3,2.810000E-9,91.900000E-6
150.000000E-3,2.809000E-9,91.500000E-6
170.000000E-3,2.807000E-9,91.100000E-6
190.000000E-3,2.806000E-9,90.700000E-6
210.000000E-3,2.803000E-9,90.500000E-6
230.000000E-3,2.802000E-9,90.200000E-6
250.000000E-3,2.802000E-9,90.000000E-6
270.000000E-3,2.801000E-9,89.700000E-6
290.000000E-3,2.800000E-9,89.500000E-6
310.000000E-3,2.800000E-9,89.200000E-6
330.000000E-3,2.799000E-9,89.000000E-6
350.000000E-3,2.798000E-9,89.000000E-6
370.000000E-3,2.798000E-9,88.800000E-6
390.000000E-3,2.797000E-9,88.700000E-6
