Frequency_rads	Cp_Farad	Bp_S	Dissipation	Gp_S
125.663706E+0	0.000000E+0	NaN	0.000000E+0	0.000000E+0
138.230077E+0	5.100000E-9	704.973391E-9	116.000000E-3	81.776913E-9
157.079633E+0	5.000000E-9	785.398163E-9	113.000000E-3	88.749992E-9
175.929189E+0	5.100000E-9	897.238862E-9	121.000000E-3	108.565902E-9
194.778745E+0	5.100000E-9	993.371597E-9	104.000000E-3	103.310646E-9
213.628300E+0	5.100000E-9	1.089504E-6	104.000000E-3	113.308451E-9
238.761042E+0	5.000000E-9	1.193805E-6	100.000000E-3	119.380521E-9
270.176968E+0	4.900000E-9	1.323867E-6	111.000000E-3	146.949253E-9
301.592895E+0	4.900000E-9	1.477805E-6	96.000000E-3	141.869298E-9
333.008821E+0	4.900000E-9	1.631743E-6	80.000000E-3	130.539458E-9
370.707933E+0	4.900000E-9	1.816469E-6	86.000000E-3	156.216323E-9
414.690230E+0	4.900000E-9	2.031982E-6	85.000000E-3	172.718481E-9
458.672527E+0	4.820000E-9	2.210802E-6	79.000000E-3	174.653325E-9
515.221195E+0	4.780000E-9	2.462757E-6	78.000000E-3	192.095070E-9
571.769863E+0	4.780000E-9	2.733060E-6	78.000000E-3	213.178676E-9
634.601716E+0	4.760000E-9	3.020704E-6	78.000000E-3	235.614925E-9
709.999940E+0	4.730000E-9	3.358300E-6	76.000000E-3	255.230778E-9
791.681349E+0	4.710000E-9	3.728819E-6	77.000000E-3	287.119075E-9
879.645943E+0	4.700000E-9	4.134336E-6	75.000000E-3	310.075195E-9
980.176908E+0	4.670000E-9	4.577426E-6	76.000000E-3	347.884388E-9
1.093274E+3	4.660000E-9	5.094658E-6	75.000000E-3	382.099348E-9
1.218938E+3	4.630000E-9	5.643683E-6	76.000000E-3	428.919886E-9
1.357168E+3	4.610000E-9	6.256545E-6	75.000000E-3	469.240845E-9
1.514248E+3	4.600000E-9	6.965539E-6	77.000000E-3	536.346521E-9
1.683894E+3	4.580000E-9	7.712233E-6	78.000000E-3	601.554172E-9
1.878672E+3	4.560000E-9	8.566746E-6	79.000000E-3	676.772948E-9
2.092301E+3	4.540000E-9	9.499045E-6	81.000000E-3	769.422662E-9
2.331062E+3	4.520000E-9	10.536399E-6	82.000000E-3	863.984727E-9
2.601239E+3	4.500000E-9	11.705574E-6	85.000000E-3	994.973809E-9
2.896548E+3	4.500000E-9	13.034468E-6	87.000000E-3	1.133999E-6
3.229557E+3	4.500000E-9	14.533008E-6	90.000000E-3	1.307971E-6
3.593982E+3	4.400000E-9	15.813521E-6	93.000000E-3	1.470657E-6
4.008672E+3	4.400000E-9	17.638158E-6	97.000000E-3	1.710901E-6
4.467345E+3	4.400000E-9	19.656317E-6	101.000000E-3	1.985288E-6
4.976283E+3	4.380000E-9	21.796119E-6	106.000000E-3	2.310389E-6
5.541769E+3	4.360000E-9	24.162115E-6	112.000000E-3	2.706157E-6
6.176371E+3	4.340000E-9	26.805451E-6	118.000000E-3	3.163043E-6
6.886371E+3	4.310000E-9	29.680259E-6	125.000000E-3	3.710032E-6
7.671769E+3	4.290000E-9	32.911890E-6	133.000000E-3	4.377281E-6
8.545132E+3	4.260000E-9	36.402262E-6	142.000000E-3	5.169121E-6
9.525309E+3	4.230000E-9	40.292057E-6	151.000000E-3	6.084101E-6
10.612300E+3	4.200000E-9	44.571660E-6	162.000000E-3	7.220609E-6
11.824955E+3	4.160000E-9	49.191812E-6	174.000000E-3	8.559375E-6
13.175840E+3	4.120000E-9	54.284459E-6	188.000000E-3	10.205478E-6
14.683804E+3	4.070000E-9	59.763083E-6	202.000000E-3	12.072143E-6
16.361415E+3	4.020000E-9	65.772886E-6	218.000000E-3	14.338489E-6
18.227521E+3	3.960000E-9	72.180981E-6	236.000000E-3	17.034712E-6
20.313538E+3	3.900000E-9	79.222799E-6	255.000000E-3	20.201814E-6
22.632033E+3	3.820000E-9	86.454368E-6	275.000000E-3	23.774951E-6
25.220706E+3	3.740000E-9	94.325440E-6	297.000000E-3	28.014656E-6
28.098405E+3	3.650000E-9	102.559177E-6	320.000000E-3	32.818937E-6
31.309112E+3	3.550000E-9	111.147349E-6	344.000000E-3	38.234688E-6
34.890528E+3	3.440000E-9	120.023416E-6	369.000000E-3	44.288641E-6
38.874067E+3	3.330000E-9	129.450645E-6	391.900000E-3	50.731708E-6
43.316280E+3	3.210000E-9	139.045257E-6	417.700000E-3	58.079204E-6
48.267430E+3	3.085000E-9	148.905020E-6	443.500000E-3	66.039376E-6
53.784066E+3	2.957000E-9	159.039484E-6	468.700000E-3	74.541806E-6
59.929021E+3	2.827000E-9	169.419344E-6	493.300000E-3	83.574562E-6
66.777693E+3	2.698000E-9	180.166217E-6	516.700000E-3	93.091884E-6
74.405480E+3	2.570000E-9	191.222085E-6	538.900000E-3	103.049581E-6
82.906630E+3	2.445000E-9	202.706711E-6	560.000000E-3	113.515758E-6
92.381674E+3	2.325000E-9	214.787391E-6	578.800000E-3	124.318942E-6
102.937425E+3	2.209000E-9	227.388772E-6	596.300000E-3	135.591924E-6
114.699548E+3	2.097000E-9	240.524952E-6	611.900000E-3	147.177218E-6
127.806272E+3	1.989000E-9	254.206676E-6	625.600000E-3	159.031696E-6
142.408395E+3	1.887000E-9	268.724641E-6	637.000000E-3	171.177597E-6
158.681845E+3	1.790000E-9	284.040502E-6	645.600000E-3	183.376548E-6
176.815118E+3	1.699000E-9	300.408885E-6	651.100000E-3	195.596225E-6
197.021842E+3	1.613000E-9	317.796231E-6	653.200000E-3	207.584498E-6
219.534495E+3	1.534000E-9	336.765915E-6	651.000000E-3	219.234611E-6
244.616970E+3	1.462000E-9	357.630011E-6	645.000000E-3	230.671357E-6
272.570862E+3	1.396000E-9	380.508923E-6	634.100000E-3	241.280708E-6
303.716611E+3	1.337000E-9	406.069109E-6	619.400000E-3	251.519206E-6
338.418644E+3	1.285000E-9	434.867957E-6	600.800000E-3	261.268669E-6
377.091649E+3	1.239000E-9	467.216554E-6	578.600000E-3	270.331498E-6
420.181734E+3	1.199000E-9	503.797899E-6	553.800000E-3	279.003277E-6
468.197836E+3	1.164600E-9	545.263200E-6	527.100000E-3	287.408233E-6
521.692876E+3	1.134900E-9	592.069245E-6	499.000000E-3	295.442553E-6
581.307738E+3	1.109600E-9	645.019066E-6	470.300000E-3	303.352467E-6
647.733573E+3	1.088100E-9	704.798901E-6	441.900000E-3	311.450634E-6
721.749496E+3	1.070100E-9	772.344136E-6	414.200000E-3	319.904941E-6
804.222587E+3	1.055000E-9	848.454829E-6	387.800000E-3	329.030783E-6
896.120455E+3	1.042400E-9	934.115962E-6	363.000000E-3	339.084094E-6
998.517526E+3	1.032100E-9	1.030570E-3	339.900000E-3	350.290722E-6
1.112614E+6	1.023400E-9	1.138649E-3	319.200000E-3	363.456778E-6
1.239748E+6	1.017000E-9	1.260824E-3	299.400000E-3	377.490578E-6
1.381415E+6	1.011000E-9	1.396610E-3	283.400000E-3	395.799388E-6
1.539267E+6	1.006000E-9	1.548503E-3	269.600000E-3	417.476384E-6
1.715153E+6	1.003000E-9	1.720298E-3	258.500000E-3	444.697024E-6
1.911144E+6	1.000000E-9	1.911144E-3	249.700000E-3	477.212634E-6
2.129529E+6	998.000000E-12	2.125270E-3	243.600000E-3	517.715656E-6
2.372864E+6	997.000000E-12	2.365745E-3	240.200000E-3	568.251995E-6
2.644002E+6	996.000000E-12	2.633426E-3	239.400000E-3	630.442201E-6
