Amplitude,Capacitance,Dissipation
10.000000E-3,2.941000E-9,108.700000E-6
30.000000E-3,2.920000E-9,106.800000E-6
50.000000E-3,2.902000E-9,105.100000E-6
70.000000E-3,2.890000E-9,103.300000E-6
90.000000E-3,2.878000E-9,101.800000E-6
110.000000E-3,2.867000E-9,100.500000E-6
130.000000E-3,2.859000E-9,99.700000E-6
150.000000E-3,2.851000E-9,98.600000E-6
170.000000E-3,2.844000E-9,97.600000E-6
190.000000E-3,2.838000E-9,96.700000E-6
210.000000E-3,2.831000E-9,96.000000E-6
230.000000E-3,2.827000E-9,95.200000E-6
250.000000E-3,2.824000E-9,94.700000E-6
270.000000E-3,2.820000E-9,94.100000E-6
290.000000E-3,2.817000E-9,93.500000E-6
310.000000E-3,2.815000E-9,93.000000E-6
330.000000E-3,2.813000E-9,92.500000E-6
350.000000E-3,2.810000E-9,92.300000E-6
370.000000E-3,2.809000E-9,91.900000E-6
390.000000E-3,2.807000E-9,91.600000E-6
