Amplitude,Capacitance,Dissipation
10.000000E-3,1.141200E-9,312.700000E-6
30.000000E-3,1.139600E-9,311.200000E-6
50.000000E-3,1.138300E-9,309.900000E-6
70.000000E-3,1.138200E-9,307.800000E-6
90.000000E-3,1.137200E-9,306.600000E-6
110.000000E-3,1.136100E-9,305.600000E-6
130.000000E-3,1.135500E-9,305.000000E-6
150.000000E-3,1.134600E-9,304.100000E-6
170.000000E-3,1.133800E-9,303.300000E-6
190.000000E-3,1.133100E-9,302.600000E-6
210.000000E-3,1.132300E-9,302.100000E-6
230.000000E-3,1.131700E-9,301.500000E-6
250.000000E-3,1.131300E-9,301.100000E-6
270.000000E-3,1.130800E-9,300.700000E-6
290.000000E-3,1.130300E-9,300.200000E-6
310.000000E-3,1.129900E-9,299.800000E-6
330.000000E-3,1.129600E-9,299.400000E-6
350.000000E-3,1.129300E-9,299.400000E-6
370.000000E-3,1.129000E-9,299.100000E-6
390.000000E-3,1.128800E-9,298.800000E-6
