Amplitude,Capacitance,Dissipation
10.000000E-3,4.430000E-9,4.200000E-6
30.000000E-3,4.390000E-9,4.000000E-6
50.000000E-3,4.350000E-9,3.700000E-6
70.000000E-3,4.320000E-9,3.600000E-6
90.000000E-3,4.290000E-9,3.400000E-6
110.000000E-3,4.263000E-9,3.190000E-6
130.000000E-3,4.245000E-9,3.090000E-6
150.000000E-3,4.224000E-9,2.960000E-6
170.000000E-3,4.207000E-9,2.840000E-6
190.000000E-3,4.192000E-9,2.740000E-6
210.000000E-3,4.179000E-9,2.670000E-6
230.000000E-3,4.169000E-9,2.590000E-6
250.000000E-3,4.161000E-9,2.540000E-6
270.000000E-3,4.153000E-9,2.480000E-6
290.000000E-3,4.145000E-9,2.430000E-6
310.000000E-3,4.139000E-9,2.370000E-6
330.000000E-3,4.134000E-9,2.330000E-6
350.000000E-3,4.130000E-9,2.320000E-6
370.000000E-3,4.125000E-9,2.290000E-6
390.000000E-3,4.122000E-9,2.260000E-6
