Amplitude,Capacitance,Dissipation
10.000000E-3,4.670000E-9,5.100000E-6
30.000000E-3,4.610000E-9,4.900000E-6
50.000000E-3,4.550000E-9,4.700000E-6
70.000000E-3,4.490000E-9,4.400000E-6
90.000000E-3,4.440000E-9,4.200000E-6
110.000000E-3,4.391000E-9,3.920000E-6
130.000000E-3,4.357000E-9,3.750000E-6
150.000000E-3,4.320000E-9,3.540000E-6
170.000000E-3,4.287000E-9,3.350000E-6
190.000000E-3,4.260000E-9,3.180000E-6
210.000000E-3,4.236000E-9,3.050000E-6
230.000000E-3,4.217000E-9,2.930000E-6
250.000000E-3,4.204000E-9,2.840000E-6
270.000000E-3,4.190000E-9,2.750000E-6
290.000000E-3,4.178000E-9,2.660000E-6
310.000000E-3,4.167000E-9,2.580000E-6
330.000000E-3,4.157000E-9,2.520000E-6
350.000000E-3,4.151000E-9,2.490000E-6
370.000000E-3,4.144000E-9,2.440000E-6
390.000000E-3,4.138000E-9,2.390000E-6
