Amplitude,Capacitance,Dissipation
10.000000E-3,1.041000E-9,454.000000E-6
30.000000E-3,1.040000E-9,451.000000E-6
50.000000E-3,1.039000E-9,448.000000E-6
70.000000E-3,1.039000E-9,443.000000E-6
90.000000E-3,1.039000E-9,440.000000E-6
110.000000E-3,1.039000E-9,438.000000E-6
130.000000E-3,1.038000E-9,437.000000E-6
150.000000E-3,1.038000E-9,436.000000E-6
170.000000E-3,1.038000E-9,434.000000E-6
190.000000E-3,1.038000E-9,432.000000E-6
210.000000E-3,1.037000E-9,432.000000E-6
230.000000E-3,1.037000E-9,431.000000E-6
250.000000E-3,1.037000E-9,430.000000E-6
270.000000E-3,1.037000E-9,429.000000E-6
290.000000E-3,1.036000E-9,428.000000E-6
310.000000E-3,1.036300E-9,427.000000E-6
330.000000E-3,1.036200E-9,427.000000E-6
350.000000E-3,1.035900E-9,427.000000E-6
370.000000E-3,1.035800E-9,427.000000E-6
390.000000E-3,1.035700E-9,426.000000E-6
