Amplitude,Capacitance,Dissipation
10.000000E-3,2.810000E-9,93.100000E-6
30.000000E-3,2.808000E-9,92.600000E-6
50.000000E-3,2.806000E-9,92.100000E-6
70.000000E-3,2.808000E-9,91.500000E-6
90.000000E-3,2.807000E-9,91.000000E-6
110.000000E-3,2.806000E-9,90.600000E-6
130.000000E-3,2.805000E-9,90.500000E-6
150.000000E-3,2.804000E-9,90.100000E-6
170.000000E-3,2.803000E-9,89.900000E-6
190.000000E-3,2.802000E-9,89.600000E-6
210.000000E-3,2.800000E-9,89.500000E-6
230.000000E-3,2.800000E-9,89.200000E-6
250.000000E-3,2.799000E-9,89.100000E-6
270.000000E-3,2.799000E-9,88.900000E-6
290.000000E-3,2.799000E-9,88.700000E-6
310.000000E-3,2.798000E-9,88.600000E-6
330.000000E-3,2.798000E-9,88.400000E-6
350.000000E-3,2.797000E-9,88.400000E-6
370.000000E-3,2.797000E-9,88.300000E-6
390.000000E-3,2.797000E-9,88.200000E-6
