Amplitude,Capacitance,Dissipation
10.000000E-3,2.825000E-9,95.100000E-6
30.000000E-3,2.822000E-9,94.500000E-6
50.000000E-3,2.819000E-9,93.900000E-6
70.000000E-3,2.820000E-9,93.200000E-6
90.000000E-3,2.818000E-9,92.600000E-6
110.000000E-3,2.816000E-9,92.200000E-6
130.000000E-3,2.814000E-9,92.000000E-6
150.000000E-3,2.812000E-9,91.600000E-6
170.000000E-3,2.811000E-9,91.200000E-6
190.000000E-3,2.810000E-9,90.900000E-6
210.000000E-3,2.808000E-9,90.800000E-6
230.000000E-3,2.807000E-9,90.500000E-6
250.000000E-3,2.807000E-9,90.300000E-6
270.000000E-3,2.806000E-9,90.100000E-6
290.000000E-3,2.806000E-9,89.900000E-6
310.000000E-3,2.806000E-9,89.700000E-6
330.000000E-3,2.805000E-9,89.500000E-6
350.000000E-3,2.804000E-9,89.500000E-6
370.000000E-3,2.804000E-9,89.400000E-6
390.000000E-3,2.803000E-9,89.200000E-6
