Frequency_rads	Cp_Farad	Bp_S	Dissipation	Gp_S
647.733573E+3	1.120600E-9	725.850242E-6	427.100000E-3	310.010638E-6
721.749496E+3	1.102800E-9	795.945344E-6	398.600000E-3	317.263814E-6
804.222587E+3	1.087700E-9	874.752907E-6	371.600000E-3	325.058180E-6
896.120455E+3	1.075100E-9	963.419101E-6	345.900000E-3	333.246667E-6
998.517526E+3	1.065000E-9	1.063421E-3	321.900000E-3	342.315273E-6
1.112614E+6	1.056200E-9	1.175143E-3	300.000000E-3	352.542836E-6
1.239748E+6	1.050000E-9	1.301735E-3	278.900000E-3	363.053962E-6
1.381415E+6	1.044000E-9	1.442197E-3	261.200000E-3	376.701880E-6
1.539267E+6	1.040000E-9	1.600838E-3	245.500000E-3	393.005728E-6
1.715153E+6	1.036000E-9	1.776898E-3	231.900000E-3	412.062646E-6
1.911144E+6	1.034000E-9	1.976123E-3	220.600000E-3	435.932690E-6
2.129529E+6	1.033000E-9	2.199803E-3	211.500000E-3	465.258339E-6
2.372864E+6	1.033000E-9	2.451168E-3	204.500000E-3	501.263914E-6
2.644002E+6	1.034000E-9	2.733898E-3	199.700000E-3	545.959460E-6
2.946129E+6	1.035000E-9	3.049244E-3	197.200000E-3	601.310830E-6
3.282782E+6	1.039000E-9	3.410811E-3	196.900000E-3	671.588610E-6
3.657895E+6	1.043000E-9	3.815184E-3	199.100000E-3	759.603139E-6
4.075877E+6	1.049000E-9	4.275595E-3	203.900000E-3	871.793853E-6
4.541618E+6	1.057700E-9	4.803670E-3	211.600000E-3	1.016457E-3
5.060584E+6	1.068400E-9	5.406728E-3	222.600000E-3	1.203538E-3
5.638845E+6	1.082300E-9	6.102922E-3	237.300000E-3	1.448223E-3
6.283185E+6	1.099900E-9	6.910876E-3	256.800000E-3	1.774713E-3
