Frequency_rads	Cp_Farad	Bp_S	Dissipation	Gp_S
125.663706E+0	0.000000E+0	NaN	0.000000E+0	0.000000E+0
138.230077E+0	5.400000E-9	746.442414E-9	84.000000E-3	62.701163E-9
157.079633E+0	5.300000E-9	832.522053E-9	74.000000E-3	61.606632E-9
175.929189E+0	5.300000E-9	932.424700E-9	83.000000E-3	77.391250E-9
194.778745E+0	5.300000E-9	1.032327E-6	65.000000E-3	67.101277E-9
213.628300E+0	5.300000E-9	1.132230E-6	65.000000E-3	73.594950E-9
238.761042E+0	5.200000E-9	1.241557E-6	72.000000E-3	89.392134E-9
270.176968E+0	5.200000E-9	1.404920E-6	79.000000E-3	110.988699E-9
301.592895E+0	5.200000E-9	1.568283E-6	68.000000E-3	106.643248E-9
333.008821E+0	5.200000E-9	1.731646E-6	82.000000E-3	141.994961E-9
370.707933E+0	5.200000E-9	1.927681E-6	78.000000E-3	150.359138E-9
414.690230E+0	5.100000E-9	2.114920E-6	83.000000E-3	175.538374E-9
458.672527E+0	5.050000E-9	2.316296E-6	88.000000E-3	203.834071E-9
515.221195E+0	5.040000E-9	2.596715E-6	84.000000E-3	218.124045E-9
571.769863E+0	5.010000E-9	2.864567E-6	89.000000E-3	254.946464E-9
634.601716E+0	4.980000E-9	3.160317E-6	91.000000E-3	287.588806E-9
709.999940E+0	4.950000E-9	3.514500E-6	92.000000E-3	323.333973E-9
791.681349E+0	4.900000E-9	3.879239E-6	96.000000E-3	372.406906E-9
879.645943E+0	4.880000E-9	4.292672E-6	97.000000E-3	416.389204E-9
980.176908E+0	4.850000E-9	4.753858E-6	100.000000E-3	475.385800E-9
1.093274E+3	4.810000E-9	5.258649E-6	101.000000E-3	531.123560E-9
1.218938E+3	4.780000E-9	5.826523E-6	103.000000E-3	600.131910E-9
1.357168E+3	4.740000E-9	6.432976E-6	105.000000E-3	675.462527E-9
1.514248E+3	4.710000E-9	7.132106E-6	107.000000E-3	763.135393E-9
1.683894E+3	4.670000E-9	7.863783E-6	110.000000E-3	865.016174E-9
1.878672E+3	4.630000E-9	8.698253E-6	112.000000E-3	974.204363E-9
2.092301E+3	4.600000E-9	9.624583E-6	113.000000E-3	1.087578E-6
2.331062E+3	4.570000E-9	10.652952E-6	115.000000E-3	1.225090E-6
2.601239E+3	4.530000E-9	11.783611E-6	117.000000E-3	1.378683E-6
2.896548E+3	4.500000E-9	13.034468E-6	119.000000E-3	1.551102E-6
