Amplitude,Capacitance,Dissipation
10.000000E-3,1.136300E-9,308.100000E-6
30.000000E-3,1.135100E-9,307.100000E-6
50.000000E-3,1.134300E-9,306.200000E-6
70.000000E-3,1.134500E-9,304.500000E-6
90.000000E-3,1.133900E-9,303.700000E-6
110.000000E-3,1.133200E-9,302.900000E-6
130.000000E-3,1.132700E-9,302.500000E-6
150.000000E-3,1.132100E-9,301.900000E-6
170.000000E-3,1.131700E-9,301.300000E-6
190.000000E-3,1.131100E-9,300.900000E-6
210.000000E-3,1.130600E-9,300.500000E-6
230.000000E-3,1.130100E-9,300.100000E-6
250.000000E-3,1.129800E-9,299.800000E-6
270.000000E-3,1.129500E-9,299.500000E-6
290.000000E-3,1.129300E-9,299.100000E-6
310.000000E-3,1.128900E-9,298.900000E-6
330.000000E-3,1.128600E-9,298.600000E-6
350.000000E-3,1.128500E-9,298.500000E-6
370.000000E-3,1.128200E-9,298.300000E-6
390.000000E-3,1.128100E-9,298.100000E-6
