Amplitude,Capacitance,Dissipation
10.000000E-3,4.380000E-9,4.300000E-6
30.000000E-3,4.340000E-9,4.100000E-6
50.000000E-3,4.310000E-9,3.800000E-6
70.000000E-3,4.270000E-9,3.600000E-6
90.000000E-3,4.240000E-9,3.400000E-6
110.000000E-3,4.217000E-9,3.210000E-6
130.000000E-3,4.200000E-9,3.080000E-6
150.000000E-3,4.180000E-9,2.920000E-6
170.000000E-3,4.164000E-9,2.780000E-6
190.000000E-3,4.150000E-9,2.670000E-6
210.000000E-3,4.138000E-9,2.580000E-6
230.000000E-3,4.129000E-9,2.490000E-6
250.000000E-3,4.123000E-9,2.440000E-6
270.000000E-3,4.116000E-9,2.370000E-6
290.000000E-3,4.110000E-9,2.310000E-6
310.000000E-3,4.104000E-9,2.270000E-6
330.000000E-3,4.100000E-9,2.220000E-6
350.000000E-3,4.097000E-9,2.220000E-6
370.000000E-3,4.094000E-9,2.180000E-6
390.000000E-3,4.091000E-9,2.150000E-6
