Amplitude,Capacitance,Dissipation
10.000000E-3,1.139300E-9,307.100000E-6
30.000000E-3,1.138600E-9,306.200000E-6
50.000000E-3,1.137700E-9,305.600000E-6
70.000000E-3,1.138300E-9,303.900000E-6
90.000000E-3,1.137700E-9,303.200000E-6
110.000000E-3,1.137300E-9,302.500000E-6
130.000000E-3,1.136900E-9,302.300000E-6
150.000000E-3,1.136400E-9,301.700000E-6
170.000000E-3,1.136000E-9,301.200000E-6
190.000000E-3,1.135600E-9,300.700000E-6
210.000000E-3,1.135200E-9,300.300000E-6
230.000000E-3,1.134900E-9,300.000000E-6
250.000000E-3,1.134600E-9,299.700000E-6
270.000000E-3,1.134400E-9,299.400000E-6
290.000000E-3,1.134200E-9,299.100000E-6
310.000000E-3,1.133900E-9,298.800000E-6
330.000000E-3,1.133700E-9,298.600000E-6
350.000000E-3,1.133600E-9,298.400000E-6
370.000000E-3,1.133400E-9,298.300000E-6
390.000000E-3,1.133200E-9,298.100000E-6
