Amplitude,Capacitance,Dissipation
10.000000E-3,2.909000E-9,105.200000E-6
30.000000E-3,2.891000E-9,103.500000E-6
50.000000E-3,2.875000E-9,101.900000E-6
70.000000E-3,2.866000E-9,100.300000E-6
90.000000E-3,2.856000E-9,99.100000E-6
110.000000E-3,2.848000E-9,97.900000E-6
130.000000E-3,2.841000E-9,97.200000E-6
150.000000E-3,2.835000E-9,96.300000E-6
170.000000E-3,2.829000E-9,95.500000E-6
190.000000E-3,2.824000E-9,94.700000E-6
210.000000E-3,2.819000E-9,94.100000E-6
230.000000E-3,2.815000E-9,93.500000E-6
250.000000E-3,2.813000E-9,93.000000E-6
270.000000E-3,2.811000E-9,92.500000E-6
290.000000E-3,2.808000E-9,92.000000E-6
310.000000E-3,2.807000E-9,91.500000E-6
330.000000E-3,2.805000E-9,91.100000E-6
350.000000E-3,2.803000E-9,91.000000E-6
370.000000E-3,2.801000E-9,90.600000E-6
390.000000E-3,2.800000E-9,90.300000E-6
