Amplitude,Capacitance,Dissipation
10.000000E-3,2.825000E-9,96.100000E-6
30.000000E-3,2.819000E-9,95.200000E-6
50.000000E-3,2.814000E-9,94.400000E-6
70.000000E-3,2.814000E-9,93.500000E-6
90.000000E-3,2.810000E-9,92.800000E-6
110.000000E-3,2.808000E-9,92.200000E-6
130.000000E-3,2.804000E-9,91.900000E-6
150.000000E-3,2.801000E-9,91.400000E-6
170.000000E-3,2.799000E-9,90.900000E-6
190.000000E-3,2.796000E-9,90.500000E-6
210.000000E-3,2.792000E-9,90.200000E-6
230.000000E-3,2.790000E-9,89.800000E-6
250.000000E-3,2.789000E-9,89.600000E-6
270.000000E-3,2.788000E-9,89.300000E-6
290.000000E-3,2.786000E-9,89.000000E-6
310.000000E-3,2.785000E-9,88.700000E-6
330.000000E-3,2.784000E-9,88.500000E-6
350.000000E-3,2.782000E-9,88.400000E-6
370.000000E-3,2.781000E-9,88.200000E-6
390.000000E-3,2.780000E-9,88.000000E-6
