Amplitude,DC Bias,DC Bias
10.000000E-3,-414.142136E-3,-414.142136E-3
30.000000E-3,-442.426407E-3,-442.426407E-3
50.000000E-3,-470.710678E-3,-470.710678E-3
70.000000E-3,-498.994949E-3,-498.994949E-3
90.000000E-3,-527.279221E-3,-527.279221E-3
110.000000E-3,-555.563492E-3,-555.563492E-3
130.000000E-3,-583.847763E-3,-583.847763E-3
150.000000E-3,-612.132034E-3,-612.132034E-3
170.000000E-3,-640.416306E-3,-640.416306E-3
190.000000E-3,-668.700577E-3,-668.700577E-3
210.000000E-3,-696.984848E-3,-696.984848E-3
230.000000E-3,-725.269119E-3,-725.269119E-3
250.000000E-3,-753.553391E-3,-753.553391E-3
270.000000E-3,-781.837662E-3,-781.837662E-3
290.000000E-3,-810.121933E-3,-810.121933E-3
310.000000E-3,-838.406204E-3,-838.406204E-3
330.000000E-3,-866.690476E-3,-866.690476E-3
350.000000E-3,-894.974747E-3,-894.974747E-3
370.000000E-3,-923.259018E-3,-923.259018E-3
390.000000E-3,-951.543289E-3,-951.543289E-3
