Frequency_rads	Cp_Farad	Bp_S	Dissipation	Gp_S
125.663706E+0	0.000000E+0	NaN	0.000000E+0	0.000000E+0
138.230077E+0	4.600000E-9	635.858353E-9	108.000000E-3	68.672702E-9
157.079633E+0	4.700000E-9	738.274274E-9	110.000000E-3	81.210170E-9
175.929189E+0	4.600000E-9	809.274268E-9	98.000000E-3	79.308878E-9
194.778745E+0	4.500000E-9	876.504350E-9	105.000000E-3	92.032957E-9
213.628300E+0	4.500000E-9	961.327352E-9	93.000000E-3	89.403444E-9
238.761042E+0	4.600000E-9	1.098301E-6	94.000000E-3	103.240274E-9
270.176968E+0	4.600000E-9	1.242814E-6	94.000000E-3	116.824521E-9
301.592895E+0	4.500000E-9	1.357168E-6	88.000000E-3	119.430786E-9
333.008821E+0	4.500000E-9	1.498540E-6	88.000000E-3	131.871493E-9
370.707933E+0	4.500000E-9	1.668186E-6	80.000000E-3	133.454856E-9
414.690230E+0	4.400000E-9	1.824637E-6	83.000000E-3	151.444872E-9
458.672527E+0	4.420000E-9	2.027333E-6	82.000000E-3	166.241271E-9
515.221195E+0	4.380000E-9	2.256669E-6	77.000000E-3	173.763500E-9
571.769863E+0	4.370000E-9	2.498634E-6	77.000000E-3	192.394841E-9
634.601716E+0	4.360000E-9	2.766863E-6	74.000000E-3	204.747898E-9
709.999940E+0	4.330000E-9	3.074300E-6	72.000000E-3	221.349581E-9
791.681349E+0	4.320000E-9	3.420063E-6	73.000000E-3	249.664630E-9
879.645943E+0	4.300000E-9	3.782478E-6	69.000000E-3	260.990951E-9
980.176908E+0	4.280000E-9	4.195157E-6	69.000000E-3	289.465844E-9
1.093274E+3	4.260000E-9	4.657348E-6	68.000000E-3	316.699683E-9
1.218938E+3	4.250000E-9	5.180486E-6	67.000000E-3	347.092581E-9
1.357168E+3	4.230000E-9	5.740821E-6	67.000000E-3	384.634990E-9
1.514248E+3	4.220000E-9	6.390125E-6	66.000000E-3	421.748258E-9
1.683894E+3	4.210000E-9	7.089192E-6	66.000000E-3	467.886693E-9
1.878672E+3	4.190000E-9	7.871637E-6	67.000000E-3	527.399705E-9
2.092301E+3	4.180000E-9	8.745817E-6	67.000000E-3	585.969736E-9
2.331062E+3	4.160000E-9	9.697217E-6	68.000000E-3	659.410748E-9
2.601239E+3	4.150000E-9	10.795141E-6	69.000000E-3	744.864707E-9
2.896548E+3	4.140000E-9	11.991710E-6	71.000000E-3	851.411445E-9
3.229557E+3	4.100000E-9	13.241185E-6	73.000000E-3	966.606484E-9
3.593982E+3	4.100000E-9	14.735326E-6	75.000000E-3	1.105149E-6
4.008672E+3	4.100000E-9	16.435556E-6	78.000000E-3	1.281973E-6
4.467345E+3	4.090000E-9	18.271440E-6	81.000000E-3	1.479987E-6
4.976283E+3	4.080000E-9	20.303234E-6	85.000000E-3	1.725775E-6
5.541769E+3	4.070000E-9	22.555002E-6	90.000000E-3	2.029950E-6
6.176371E+3	4.060000E-9	25.076067E-6	96.000000E-3	2.407302E-6
6.886371E+3	4.040000E-9	27.820939E-6	103.000000E-3	2.865557E-6
7.671769E+3	4.030000E-9	30.917230E-6	110.000000E-3	3.400895E-6
8.545132E+3	4.010000E-9	34.265979E-6	119.000000E-3	4.077652E-6
9.525309E+3	3.990000E-9	38.005983E-6	128.000000E-3	4.864766E-6
10.612300E+3	3.970000E-9	42.130831E-6	139.000000E-3	5.856186E-6
11.824955E+3	3.950000E-9	46.708571E-6	151.000000E-3	7.052994E-6
13.175840E+3	3.920000E-9	51.649291E-6	164.000000E-3	8.470484E-6
14.683804E+3	3.880000E-9	56.973160E-6	180.000000E-3	10.255169E-6
16.361415E+3	3.840000E-9	62.827832E-6	196.000000E-3	12.314255E-6
18.227521E+3	3.800000E-9	69.264578E-6	214.000000E-3	14.822620E-6
20.313538E+3	3.740000E-9	75.972632E-6	234.000000E-3	17.777596E-6
22.632033E+3	3.680000E-9	83.285883E-6	255.000000E-3	21.237900E-6
25.220706E+3	3.610000E-9	91.046748E-6	279.000000E-3	25.402043E-6
28.098405E+3	3.530000E-9	99.187369E-6	304.000000E-3	30.152960E-6
31.309112E+3	3.440000E-9	107.703347E-6	331.000000E-3	35.649808E-6
34.890528E+3	3.340000E-9	116.534364E-6	359.000000E-3	41.835837E-6
38.874067E+3	3.230000E-9	125.563238E-6	387.000000E-3	48.592973E-6
43.316280E+3	3.110000E-9	134.713629E-6	416.600000E-3	56.121698E-6
48.267430E+3	2.985000E-9	144.078277E-6	446.300000E-3	64.302135E-6
53.784066E+3	2.856000E-9	153.607293E-6	476.500000E-3	73.193875E-6
59.929021E+3	2.724000E-9	163.246654E-6	506.200000E-3	82.635456E-6
66.777693E+3	2.592000E-9	173.087781E-6	534.700000E-3	92.550037E-6
74.405480E+3	2.462000E-9	183.186293E-6	562.200000E-3	102.987334E-6
82.906630E+3	2.333000E-9	193.421168E-6	589.600000E-3	114.041121E-6
92.381674E+3	2.204000E-9	203.609209E-6	616.200000E-3	125.463994E-6
102.937425E+3	2.083000E-9	214.418656E-6	639.900000E-3	137.206498E-6
114.699548E+3	1.966000E-9	225.499311E-6	662.700000E-3	149.438393E-6
127.806272E+3	1.856000E-9	237.208441E-6	683.200000E-3	162.060807E-6
142.408395E+3	1.750000E-9	249.214691E-6	701.600000E-3	174.849027E-6
158.681845E+3	1.650000E-9	261.825044E-6	718.200000E-3	188.042747E-6
176.815118E+3	1.555000E-9	274.947508E-6	731.700000E-3	201.179092E-6
197.021842E+3	1.466000E-9	288.834020E-6	743.700000E-3	214.805861E-6
219.534495E+3	1.382000E-9	303.396672E-6	751.200000E-3	227.911580E-6
244.616970E+3	1.306000E-9	319.469763E-6	754.700000E-3	241.103830E-6
272.570862E+3	1.237000E-9	337.170156E-6	754.400000E-3	254.361166E-6
303.716611E+3	1.175000E-9	356.867018E-6	749.300000E-3	267.400457E-6
338.418644E+3	1.121000E-9	379.367300E-6	739.900000E-3	280.693865E-6
377.091649E+3	1.072000E-9	404.242248E-6	727.900000E-3	294.247932E-6
420.181734E+3	1.030000E-9	432.787186E-6	712.500000E-3	308.360870E-6
468.197836E+3	993.800000E-12	465.295010E-6	695.100000E-3	323.426561E-6
521.692876E+3	958.600000E-12	500.094791E-6	680.500000E-3	340.314505E-6
581.307738E+3	929.800000E-12	540.499935E-6	663.900000E-3	358.837907E-6
647.733573E+3	904.100000E-12	585.615924E-6	648.500000E-3	379.771926E-6
721.749496E+3	880.900000E-12	635.789131E-6	635.300000E-3	403.916835E-6
804.222587E+3	859.400000E-12	691.148891E-6	625.300000E-3	432.175401E-6
896.120455E+3	838.800000E-12	751.665838E-6	619.400000E-3	465.581820E-6
998.517526E+3	819.000000E-12	817.785854E-6	617.600000E-3	505.064543E-6
1.112614E+6	798.600000E-12	888.533451E-6	621.200000E-3	551.956980E-6
1.239748E+6	777.600000E-12	964.027935E-6	630.200000E-3	607.530405E-6
1.381415E+6	753.700000E-12	1.041172E-3	647.600000E-3	674.263223E-6
1.539267E+6	729.000000E-12	1.122126E-3	669.900000E-3	751.712116E-6
1.715153E+6	701.000000E-12	1.202322E-3	699.800000E-3	841.384872E-6
1.911144E+6	671.000000E-12	1.282378E-3	736.900000E-3	944.984026E-6
2.129529E+6	638.000000E-12	1.358639E-3	782.700000E-3	1.063407E-3
2.372864E+6	602.000000E-12	1.428464E-3	837.000000E-3	1.195624E-3
2.644002E+6	563.000000E-12	1.488573E-3	901.000000E-3	1.341204E-3
2.946129E+6	521.000000E-12	1.534933E-3	976.200000E-3	1.498402E-3
3.282782E+6	477.000000E-12	1.565887E-3	1.063400E+0	1.665164E-3
3.657895E+6	432.000000E-12	1.580210E-3	1.164000E+0	1.839365E-3
4.075877E+6	387.000000E-12	1.577364E-3	1.279500E+0	2.018238E-3
4.541618E+6	341.900000E-12	1.552779E-3	1.411700E+0	2.192059E-3
5.060584E+6	298.800000E-12	1.512103E-3	1.562800E+0	2.363114E-3
5.638845E+6	258.300000E-12	1.456514E-3	1.736300E+0	2.528945E-3
6.283185E+6	220.700000E-12	1.386699E-3	1.935500E+0	2.683956E-3
