Frequency_rads	Cp_Farad	Bp_S	Dissipation	Gp_S
125.663706E+0	0.000000E+0	NaN	0.000000E+0	0.000000E+0
138.230077E+0	5.000000E-9	691.150384E-9	110.000000E-3	76.026542E-9
157.079633E+0	5.200000E-9	816.814090E-9	88.000000E-3	71.879640E-9
175.929189E+0	5.000000E-9	879.645943E-9	97.000000E-3	85.325656E-9
194.778745E+0	5.000000E-9	973.893723E-9	66.000000E-3	64.276986E-9
213.628300E+0	5.000000E-9	1.068142E-6	72.000000E-3	76.906188E-9
238.761042E+0	5.000000E-9	1.193805E-6	79.000000E-3	94.310611E-9
270.176968E+0	5.000000E-9	1.350885E-6	73.000000E-3	98.614593E-9
301.592895E+0	5.000000E-9	1.507964E-6	80.000000E-3	120.637158E-9
333.008821E+0	4.900000E-9	1.631743E-6	78.000000E-3	127.275971E-9
370.707933E+0	4.900000E-9	1.816469E-6	83.000000E-3	150.766916E-9
414.690230E+0	4.900000E-9	2.031982E-6	81.000000E-3	164.590552E-9
458.672527E+0	4.870000E-9	2.233735E-6	85.000000E-3	189.867493E-9
515.221195E+0	4.820000E-9	2.483366E-6	83.000000E-3	206.119391E-9
571.769863E+0	4.800000E-9	2.744495E-6	83.000000E-3	227.793113E-9
634.601716E+0	4.780000E-9	3.033396E-6	82.000000E-3	248.738489E-9
709.999940E+0	4.740000E-9	3.365400E-6	88.000000E-3	296.155175E-9
791.681349E+0	4.710000E-9	3.728819E-6	90.000000E-3	335.593724E-9
879.645943E+0	4.680000E-9	4.116743E-6	89.000000E-3	366.390128E-9
980.176908E+0	4.650000E-9	4.557823E-6	91.000000E-3	414.761859E-9
1.093274E+3	4.620000E-9	5.050927E-6	91.000000E-3	459.634357E-9
1.218938E+3	4.590000E-9	5.594925E-6	93.000000E-3	520.328043E-9
1.357168E+3	4.560000E-9	6.188686E-6	94.000000E-3	581.736503E-9
1.514248E+3	4.530000E-9	6.859542E-6	95.000000E-3	651.656480E-9
1.683894E+3	4.500000E-9	7.577521E-6	96.000000E-3	727.442062E-9
1.878672E+3	4.470000E-9	8.397666E-6	97.000000E-3	814.573569E-9
2.092301E+3	4.450000E-9	9.310738E-6	98.000000E-3	912.452338E-9
2.331062E+3	4.420000E-9	10.303293E-6	100.000000E-3	1.030329E-6
2.601239E+3	4.390000E-9	11.419438E-6	101.000000E-3	1.153363E-6
2.896548E+3	4.370000E-9	12.657917E-6	103.000000E-3	1.303765E-6
3.229557E+3	4.300000E-9	13.887096E-6	104.000000E-3	1.444258E-6
3.593982E+3	4.300000E-9	15.454123E-6	106.000000E-3	1.638137E-6
4.008672E+3	4.300000E-9	17.237291E-6	109.000000E-3	1.878865E-6
4.467345E+3	4.270000E-9	19.075562E-6	112.000000E-3	2.136463E-6
4.976283E+3	4.240000E-9	21.099439E-6	115.000000E-3	2.426435E-6
5.541769E+3	4.220000E-9	23.386267E-6	119.000000E-3	2.782966E-6
6.176371E+3	4.200000E-9	25.940759E-6	124.000000E-3	3.216654E-6
6.886371E+3	4.170000E-9	28.716167E-6	129.000000E-3	3.704386E-6
7.671769E+3	4.150000E-9	31.837842E-6	135.000000E-3	4.298109E-6
8.545132E+3	4.120000E-9	35.205944E-6	142.000000E-3	4.999244E-6
9.525309E+3	4.090000E-9	38.958514E-6	151.000000E-3	5.882736E-6
10.612300E+3	4.060000E-9	43.085938E-6	160.000000E-3	6.893750E-6
11.824955E+3	4.030000E-9	47.654568E-6	170.000000E-3	8.101276E-6
13.175840E+3	3.990000E-9	52.571600E-6	182.000000E-3	9.568031E-6
14.683804E+3	3.950000E-9	58.001026E-6	195.000000E-3	11.310200E-6
16.361415E+3	3.910000E-9	63.973131E-6	209.000000E-3	13.370384E-6
18.227521E+3	3.860000E-9	70.358229E-6	225.000000E-3	15.830602E-6
20.313538E+3	3.800000E-9	77.191445E-6	243.000000E-3	18.757521E-6
22.632033E+3	3.740000E-9	84.643805E-6	262.000000E-3	22.176677E-6
25.220706E+3	3.670000E-9	92.559990E-6	282.000000E-3	26.101917E-6
28.098405E+3	3.590000E-9	100.873273E-6	304.000000E-3	30.665475E-6
31.309112E+3	3.500000E-9	109.581893E-6	327.000000E-3	35.833279E-6
34.890528E+3	3.400000E-9	118.627795E-6	352.000000E-3	41.756984E-6
38.874067E+3	3.300000E-9	128.284423E-6	374.400000E-3	48.029688E-6
43.316280E+3	3.180000E-9	137.745769E-6	399.900000E-3	55.084533E-6
48.267430E+3	3.064000E-9	147.891404E-6	425.500000E-3	62.927792E-6
53.784066E+3	2.941000E-9	158.178939E-6	451.100000E-3	71.354519E-6
59.929021E+3	2.817000E-9	168.820053E-6	475.800000E-3	80.324581E-6
66.777693E+3	2.691000E-9	179.698773E-6	499.700000E-3	89.795477E-6
74.405480E+3	2.567000E-9	190.998868E-6	522.100000E-3	99.720509E-6
82.906630E+3	2.444000E-9	202.623804E-6	543.400000E-3	110.105775E-6
92.381674E+3	2.326000E-9	214.879773E-6	562.700000E-3	120.912848E-6
102.937425E+3	2.211000E-9	227.594646E-6	580.600000E-3	132.141452E-6
114.699548E+3	2.100000E-9	240.869050E-6	596.800000E-3	143.750649E-6
127.806272E+3	1.994000E-9	254.845707E-6	610.800000E-3	155.659758E-6
142.408395E+3	1.892000E-9	269.436683E-6	622.700000E-3	167.778223E-6
158.681845E+3	1.796000E-9	284.992593E-6	631.800000E-3	180.058321E-6
176.815118E+3	1.705000E-9	301.469776E-6	638.000000E-3	192.337717E-6
197.021842E+3	1.619000E-9	318.978362E-6	640.900000E-3	204.433232E-6
219.534495E+3	1.540000E-9	338.083122E-6	639.500000E-3	216.204156E-6
244.616970E+3	1.467000E-9	358.853096E-6	633.900000E-3	227.476977E-6
272.570862E+3	1.401000E-9	381.871777E-6	624.000000E-3	238.287989E-6
303.716611E+3	1.341000E-9	407.283976E-6	609.800000E-3	248.361768E-6
338.418644E+3	1.289000E-9	436.221632E-6	591.500000E-3	258.025095E-6
377.091649E+3	1.242000E-9	468.347829E-6	569.800000E-3	266.864593E-6
420.181734E+3	1.201000E-9	504.638263E-6	545.100000E-3	275.078317E-6
468.197836E+3	1.166200E-9	546.012317E-6	518.200000E-3	282.943583E-6
521.692876E+3	1.135900E-9	592.590938E-6	489.700000E-3	290.191782E-6
581.307738E+3	1.110300E-9	645.425982E-6	460.300000E-3	297.089579E-6
647.733573E+3	1.088500E-9	705.057995E-6	431.100000E-3	303.950501E-6
721.749496E+3	1.070400E-9	772.560661E-6	402.100000E-3	310.646642E-6
804.222587E+3	1.055200E-9	848.615673E-6	374.400000E-3	317.721708E-6
896.120455E+3	1.042500E-9	934.205574E-6	347.900000E-3	325.010119E-6
998.517526E+3	1.032200E-9	1.030670E-3	323.300000E-3	333.215543E-6
1.112614E+6	1.023700E-9	1.138983E-3	300.500000E-3	342.264343E-6
1.239748E+6	1.017000E-9	1.260824E-3	278.700000E-3	351.391530E-6
1.381415E+6	1.012000E-9	1.397992E-3	260.100000E-3	363.617671E-6
1.539267E+6	1.008000E-9	1.551581E-3	243.600000E-3	377.965239E-6
1.715153E+6	1.005000E-9	1.723728E-3	229.300000E-3	395.250893E-6
1.911144E+6	1.003000E-9	1.916877E-3	217.200000E-3	416.345758E-6
2.129529E+6	1.002000E-9	2.133788E-3	207.500000E-3	442.760935E-6
2.372864E+6	1.002000E-9	2.377610E-3	199.700000E-3	474.808619E-6
2.644002E+6	1.003000E-9	2.651934E-3	194.100000E-3	514.740405E-6
2.946129E+6	1.005000E-9	2.960860E-3	190.800000E-3	564.932028E-6
3.282782E+6	1.008000E-9	3.309044E-3	189.800000E-3	628.056621E-6
3.657895E+6	1.013000E-9	3.705447E-3	191.100000E-3	708.110957E-6
4.075877E+6	1.019000E-9	4.153319E-3	194.900000E-3	809.481842E-6
4.541618E+6	1.027800E-9	4.667875E-3	201.700000E-3	941.510443E-6
5.060584E+6	1.038800E-9	5.256935E-3	211.300000E-3	1.110790E-3
5.638845E+6	1.052700E-9	5.936012E-3	224.700000E-3	1.333822E-3
6.283185E+6	1.070400E-9	6.725522E-3	242.500000E-3	1.630939E-3
