175.93,1.0796e+06,-1.1514e+06,1079.6,-1151.4
194.78,9.6871e+05,-1.1755e+06,968.71,-1175.5
213.63,6.7306e+05,-1.4777e+06,673.06,-1477.7
238.76,5.1481e+05,-1.4149e+06,514.81,-1414.9
270.18,5.2889e+05,-1.226e+06,528.89,-1226
301.59,4.6394e+05,-1.1302e+06,463.94,-1130.2
333.01,4.1544e+05,-1.0403e+06,415.44,-1040.3
370.71,3.7458e+05,-9.6324e+05,374.58,-963.24
414.69,3.3522e+05,-8.916e+05,335.22,-891.6
458.67,2.9792e+05,-8.2177e+05,297.92,-821.77
515.22,2.6497e+05,-7.5966e+05,264.97,-759.66
571.77,2.3543e+05,-6.9995e+05,235.43,-699.95
634.6,2.0978e+05,-6.4663e+05,209.78,-646.63
710,1.8481e+05,-5.9464e+05,184.81,-594.64
791.68,1.6301e+05,-5.4682e+05,163.01,-546.82
879.65,1.4335e+05,-5.0272e+05,143.35,-502.72
980.18,1.252e+05,-4.611e+05,125.2,-461.1
1093.3,1.0887e+05,-4.2185e+05,108.87,-421.85
1218.9,94913,-3.8632e+05,94.913,-386.32
1357.2,82682,-3.5286e+05,82.682,-352.86
1514.2,71743,-3.2195e+05,71.743,-321.95
1683.9,62268,-2.9318e+05,62.268,-293.18
1878.7,54211,-2.6687e+05,54.211,-266.87
2092.3,47282,-2.4257e+05,47.282,-242.57
2331.1,41313,-2.2035e+05,41.313,-220.35
2601.2,36152,-1.9984e+05,36.152,-199.84
2896.5,31760,-1.8134e+05,31.76,-181.34
3229.6,27903,-1.6439e+05,27.903,-164.39
3594,24563,-1.4897e+05,24.563,-148.97
4008.7,21706,-1.3499e+05,21.706,-134.99
4467.3,19289,-1.2236e+05,19.289,-122.36
4976.3,17189,-1.1085e+05,17.189,-110.85
5541.8,15366,-1.0038e+05,15.366,-100.38
6176.4,13784,-90971,13.784,-90.971
6886.4,12380,-82387,12.38,-82.387
7671.8,11122,-74609,11.122,-74.609
8545.1,10012,-67651,10.012,-67.651
